"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM VESTIGING";"GEMEENTENAAM";"ONDERWIJSTYPE VO";"INSPECTIECODE";"OPLEIDINGSNAAM";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - MAN";"GESLAAGDEN SCHOOLJAAR 2019-2020 - MAN";"SLAAGPERC SCHOOLJAAR 2019-2020 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - VROUW";"GESLAAGDEN SCHOOLJAAR 2019-2020 - VROUW";"SLAAGPERC SCHOOLJAAR 2019-2020 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2019-2020 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2019-2020 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - MAN";"GESLAAGDEN SCHOOLJAAR 2020-2021 - MAN";"SLAAGPERC SCHOOLJAAR 2020-2021 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - VROUW";"GESLAAGDEN SCHOOLJAAR 2020-2021 - VROUW";"SLAAGPERC SCHOOLJAAR 2020-2021 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2020-2021 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2020-2021 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - MAN";"GESLAAGDEN SCHOOLJAAR 2021-2022 - MAN";"SLAAGPERC SCHOOLJAAR 2021-2022 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - VROUW";"GESLAAGDEN SCHOOLJAAR 2021-2022 - VROUW";"SLAAGPERC SCHOOLJAAR 2021-2022 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2021-2022 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2021-2022 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - MAN";"GESLAAGDEN SCHOOLJAAR 2022-2023 - MAN";"SLAAGPERC SCHOOLJAAR 2022-2023 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - VROUW";"GESLAAGDEN SCHOOLJAAR 2022-2023 - VROUW";"SLAAGPERC SCHOOLJAAR 2022-2023 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2022-2023 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2022-2023 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - MAN";"GESLAAGDEN SCHOOLJAAR 2023-2024 - MAN";"SLAAGPERC SCHOOLJAAR 2023-2024 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - VROUW";"GESLAAGDEN SCHOOLJAAR 2023-2024 - VROUW";"SLAAGPERC SCHOOLJAAR 2023-2024 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2023-2024 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2023-2024 - TOTAAL"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"31";"VMBO LWT - zorg & welzijn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"32";"VMBO LWT - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"34";"VMBO B - techniek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"100";"<5";"<5";"100";"12";"12";"100"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"35";"VMBO B - zorg en welzijn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"15";"14";"93.3";"16";"15";"93.8"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"36";"VMBO B - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"9";"100";"<5";"<5";"100";"13";"13";"100"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"38";"VMBO K - techniek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"36";"97.3";"<5";"<5";"100";"40";"39";"97.5"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"39";"VMBO K - zorg en welzijn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"25";"22";"88";"27";"24";"88.9"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"40";"VMBO K - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27";"26";"96.3";"20";"20";"100";"47";"46";"97.9"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"42";"VMBO G - techniek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"43";"VMBO G - zorg en welzijn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"7";"87.5";"8";"7";"87.5"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"44";"VMBO G - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"90";"VMBO T - techniek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"19";"100";"8";"8";"100";"27";"27";"100"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"91";"VMBO T - zorg en welzijn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"6";"5";"83.3";"7";"6";"85.7"
"16VK";"16VK06";"De Overlaat";"WAALWIJK";"VMBO";"92";"VMBO T - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"7";"100";"6";"6";"100";"13";"13";"100"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"31";"VMBO LWT - zorg & welzijn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"32";"VMBO LWT - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"75";"<5";"<5";"100";"5";"<5";"80";"5";"<5";"80";"<5";"0";"0";"6";"<5";"66.7";"8";"7";"87.5";"<5";"<5";"100";"11";"10";"90.9"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"35";"VMBO B - zorg en welzijn";"<5";"<5";"100";"9";"9";"100";"12";"12";"100";"0";"0";"0";"8";"8";"100";"8";"8";"100";"<5";"<5";"100";"10";"10";"100";"12";"12";"100";"<5";"<5";"100";"12";"12";"100";"14";"14";"100";"0";"0";"0";"10";"10";"100";"10";"10";"100"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"36";"VMBO B - economie";"17";"17";"100";"10";"10";"100";"27";"27";"100";"17";"17";"100";"8";"8";"100";"25";"25";"100";"15";"15";"100";"6";"6";"100";"21";"21";"100";"24";"24";"100";"7";"7";"100";"31";"31";"100";"16";"16";"100";"9";"9";"100";"25";"25";"100"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"39";"VMBO K - zorg en welzijn";"<5";"<5";"100";"13";"13";"100";"16";"16";"100";"<5";"<5";"100";"17";"17";"100";"20";"20";"100";"<5";"<5";"100";"21";"21";"100";"23";"23";"100";"<5";"<5";"100";"17";"17";"100";"18";"18";"100";"0";"0";"0";"15";"15";"100";"15";"15";"100"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"40";"VMBO K - economie";"19";"19";"100";"10";"10";"100";"29";"29";"100";"30";"29";"96.7";"13";"13";"100";"43";"42";"97.7";"19";"19";"100";"11";"11";"100";"30";"30";"100";"28";"28";"100";"12";"12";"100";"40";"40";"100";"21";"21";"100";"18";"18";"100";"39";"39";"100"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"43";"VMBO G - zorg en welzijn";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"6";"6";"100";"6";"6";"100";"0";"0";"0";"6";"6";"100";"6";"6";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"44";"VMBO G - economie";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100"
"16VM";"16VM00";"Herlecollege";"HEERLEN";"VMBO";"92";"VMBO T - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100"
"16VM";"16VM07";"Herlecollege";"HEERLEN";"VMBO";"30";"VMBO LWT - techniek";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"6";"6";"100";"0";"0";"0";"6";"6";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"16VM";"16VM07";"Herlecollege";"HEERLEN";"VMBO";"34";"VMBO B - techniek";"33";"33";"100";"0";"0";"0";"33";"33";"100";"34";"34";"100";"<5";"<5";"100";"35";"35";"100";"18";"18";"100";"<5";"<5";"100";"19";"19";"100";"19";"19";"100";"<5";"<5";"100";"20";"20";"100";"14";"14";"100";"0";"0";"0";"14";"14";"100"
"16VM";"16VM07";"Herlecollege";"HEERLEN";"VMBO";"38";"VMBO K - techniek";"35";"35";"100";"0";"0";"0";"35";"35";"100";"23";"23";"100";"<5";"<5";"100";"24";"24";"100";"27";"27";"100";"<5";"<5";"100";"29";"29";"100";"17";"16";"94.1";"<5";"<5";"100";"18";"17";"94.4";"26";"25";"96.2";"<5";"<5";"100";"28";"27";"96.4"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"HAVO";"50";"HAVO - N&T";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"9";"9";"100";"0";"0";"0";"9";"9";"100";"5";"<5";"60";"0";"0";"0";"5";"<5";"60";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"9";"9";"100";"<5";"<5";"100";"10";"10";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"HAVO";"51";"HAVO - N&G";"21";"21";"100";"27";"27";"100";"48";"48";"100";"18";"18";"100";"16";"13";"81.2";"34";"31";"91.2";"25";"24";"96";"15";"14";"93.3";"40";"38";"95";"10";"7";"70";"15";"12";"80";"25";"19";"76";"15";"14";"93.3";"20";"19";"95";"35";"33";"94.3"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"HAVO";"52";"HAVO - E&M";"32";"32";"100";"19";"19";"100";"51";"51";"100";"10";"10";"100";"18";"17";"94.4";"28";"27";"96.4";"28";"24";"85.7";"11";"10";"90.9";"39";"34";"87.2";"27";"22";"81.5";"24";"21";"87.5";"51";"43";"84.3";"28";"26";"92.9";"19";"18";"94.7";"47";"44";"93.6"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"HAVO";"53";"HAVO - C&M";"0";"0";"0";"5";"5";"100";"5";"5";"100";"<5";"<5";"100";"13";"13";"100";"16";"16";"100";"0";"0";"0";"6";"5";"83.3";"6";"5";"83.3";"<5";"<5";"66.7";"5";"<5";"80";"8";"6";"75";"<5";"<5";"50";"5";"5";"100";"7";"6";"85.7"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"HAVO";"54";"HAVO - N&T / N&G";"10";"9";"90";"10";"10";"100";"20";"19";"95";"6";"5";"83.3";"<5";"<5";"100";"8";"7";"87.5";"<5";"<5";"75";"5";"5";"100";"9";"8";"88.9";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"HAVO";"59";"HAVO - E&M / C&M";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"5";"5";"100";"5";"5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"30";"VMBO LWT - techniek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"34";"VMBO B - techniek";"23";"23";"100";"0";"0";"0";"23";"23";"100";"30";"30";"100";"<5";"<5";"100";"32";"32";"100";"24";"24";"100";"0";"0";"0";"24";"24";"100";"18";"17";"94.4";"<5";"<5";"100";"22";"21";"95.5";"24";"24";"100";"<5";"<5";"100";"27";"27";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"35";"VMBO B - zorg en welzijn";"0";"0";"0";"13";"13";"100";"13";"13";"100";"0";"0";"0";"10";"10";"100";"10";"10";"100";"<5";"<5";"100";"12";"12";"100";"15";"15";"100";"0";"0";"0";"10";"10";"100";"10";"10";"100";"0";"0";"0";"14";"14";"100";"14";"14";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"36";"VMBO B - economie";"<5";"<5";"100";"6";"6";"100";"8";"8";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"38";"VMBO K - techniek";"43";"43";"100";"<5";"<5";"100";"47";"47";"100";"50";"50";"100";"<5";"<5";"100";"51";"51";"100";"49";"49";"100";"5";"5";"100";"54";"54";"100";"31";"30";"96.8";"<5";"<5";"100";"34";"33";"97.1";"49";"47";"95.9";"<5";"<5";"100";"50";"48";"96"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"39";"VMBO K - zorg en welzijn";"<5";"<5";"100";"33";"33";"100";"35";"35";"100";"<5";"<5";"100";"38";"38";"100";"39";"39";"100";"5";"5";"100";"36";"35";"97.2";"41";"40";"97.6";"<5";"<5";"100";"42";"42";"100";"44";"44";"100";"<5";"<5";"100";"42";"40";"95.2";"44";"42";"95.5"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"40";"VMBO K - economie";"5";"5";"100";"8";"8";"100";"13";"13";"100";"<5";"<5";"100";"7";"7";"100";"9";"9";"100";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"8";"8";"100";"7";"7";"100";"15";"15";"100";"6";"6";"100";"<5";"<5";"100";"9";"9";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"44";"VMBO G - economie";"<5";"<5";"100";"14";"14";"100";"18";"18";"100";"5";"5";"100";"6";"6";"100";"11";"11";"100";"<5";"<5";"100";"20";"20";"100";"21";"21";"100";"7";"7";"100";"20";"20";"100";"27";"27";"100";"12";"11";"91.7";"9";"7";"77.8";"21";"18";"85.7"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"90";"VMBO T - techniek";"12";"12";"100";"<5";"<5";"100";"13";"13";"100";"8";"8";"100";"0";"0";"0";"8";"8";"100";"18";"18";"100";"0";"0";"0";"18";"18";"100";"17";"17";"100";"<5";"<5";"100";"18";"18";"100";"11";"11";"100";"0";"0";"0";"11";"11";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"91";"VMBO T - zorg en welzijn";"5";"5";"100";"18";"18";"100";"23";"23";"100";"14";"14";"100";"24";"24";"100";"38";"38";"100";"9";"9";"100";"18";"15";"83.3";"27";"24";"88.9";"<5";"<5";"100";"27";"25";"92.6";"30";"28";"93.3";"11";"10";"90.9";"26";"25";"96.2";"37";"35";"94.6"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VMBO";"92";"VMBO T - economie";"29";"29";"100";"17";"17";"100";"46";"46";"100";"15";"14";"93.3";"9";"9";"100";"24";"23";"95.8";"32";"32";"100";"11";"11";"100";"43";"43";"100";"29";"28";"96.6";"9";"9";"100";"38";"37";"97.4";"20";"18";"90";"16";"15";"93.8";"36";"33";"91.7"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VWO";"60";"VWO - N&T";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"<5";"<5";"100";"7";"7";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"10";"10";"100";"<5";"0";"0";"11";"10";"90.9";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VWO";"61";"VWO - N&G";"5";"5";"100";"<5";"<5";"100";"8";"8";"100";"5";"5";"100";"7";"6";"85.7";"12";"11";"91.7";"6";"5";"83.3";"11";"11";"100";"17";"16";"94.1";"10";"9";"90";"12";"7";"58.3";"22";"16";"72.7";"14";"13";"92.9";"8";"8";"100";"22";"21";"95.5"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VWO";"62";"VWO - E&M";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"<5";"<5";"100";"7";"7";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"50";"7";"6";"85.7";"11";"10";"90.9";"<5";"<5";"100";"13";"12";"92.3"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VWO";"63";"VWO - C&M";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"0";"0";"<5";"<5";"100";"<5";"<5";"50";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"66.7";"<5";"<5";"75"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VWO";"64";"VWO - N&T / N&G";"16";"15";"93.8";"20";"20";"100";"36";"35";"97.2";"15";"14";"93.3";"6";"6";"100";"21";"20";"95.2";"15";"15";"100";"13";"13";"100";"28";"28";"100";"5";"5";"100";"8";"8";"100";"13";"13";"100";"9";"8";"88.9";"5";"5";"100";"14";"13";"92.9"
"16VP";"16VP00";"Hondsrug College";"EMMEN";"VWO";"69";"VWO - E&M / C&M";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"<5";"<5";"100";"9";"9";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"66.7";"<5";"<5";"66.7";"<5";"<5";"100";"6";"6";"100";"7";"7";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"HAVO";"50";"HAVO - N&T";"6";"6";"100";"<5";"<5";"100";"8";"8";"100";"10";"9";"90";"<5";"<5";"50";"12";"10";"83.3";"5";"5";"100";"0";"0";"0";"5";"5";"100";"6";"6";"100";"0";"0";"0";"6";"6";"100";"8";"8";"100";"<5";"<5";"100";"9";"9";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"HAVO";"51";"HAVO - N&G";"6";"6";"100";"7";"7";"100";"13";"13";"100";"8";"7";"87.5";"<5";"<5";"100";"12";"11";"91.7";"7";"7";"100";"6";"6";"100";"13";"13";"100";"8";"8";"100";"6";"5";"83.3";"14";"13";"92.9";"5";"5";"100";"12";"12";"100";"17";"17";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"HAVO";"52";"HAVO - E&M";"21";"21";"100";"10";"10";"100";"31";"31";"100";"24";"22";"91.7";"11";"10";"90.9";"35";"32";"91.4";"18";"17";"94.4";"8";"8";"100";"26";"25";"96.2";"20";"18";"90";"6";"5";"83.3";"26";"23";"88.5";"24";"24";"100";"9";"8";"88.9";"33";"32";"97"
"16XD";"16XD00";"College Den Hulster";"VENLO";"HAVO";"53";"HAVO - C&M";"<5";"<5";"100";"5";"5";"100";"7";"7";"100";"6";"6";"100";"11";"10";"90.9";"17";"16";"94.1";"<5";"<5";"100";"10";"10";"100";"11";"11";"100";"<5";"<5";"100";"9";"8";"88.9";"12";"11";"91.7";"<5";"<5";"100";"15";"15";"100";"16";"16";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"HAVO";"54";"HAVO - N&T / N&G";"<5";"<5";"50";"<5";"<5";"100";"<5";"<5";"75";"<5";"<5";"100";"<5";"<5";"75";"8";"7";"87.5";"9";"7";"77.8";"<5";"<5";"66.7";"12";"9";"75";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"30";"VMBO LWT - techniek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"32";"VMBO LWT - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"34";"VMBO B - techniek";"20";"18";"90";"0";"0";"0";"20";"18";"90";"16";"16";"100";"<5";"<5";"100";"17";"17";"100";"12";"12";"100";"0";"0";"0";"12";"12";"100";"11";"11";"100";"0";"0";"0";"11";"11";"100";"17";"17";"100";"<5";"<5";"100";"19";"19";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"35";"VMBO B - zorg en welzijn";"<5";"<5";"100";"6";"5";"83.3";"8";"7";"87.5";"<5";"<5";"100";"<5";"<5";"100";"7";"7";"100";"<5";"<5";"100";"7";"7";"100";"8";"8";"100";"7";"7";"100";"11";"10";"90.9";"18";"17";"94.4";"7";"7";"100";"11";"10";"90.9";"18";"17";"94.4"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"36";"VMBO B - economie";"<5";"<5";"100";"<5";"<5";"100";"8";"8";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"6";"6";"100";"<5";"<5";"100";"7";"7";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"66.7";"<5";"<5";"100";"5";"<5";"80"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"38";"VMBO K - techniek";"35";"35";"100";"11";"11";"100";"46";"46";"100";"34";"34";"100";"<5";"<5";"100";"35";"35";"100";"22";"22";"100";"<5";"<5";"100";"26";"26";"100";"19";"19";"100";"<5";"<5";"100";"20";"20";"100";"20";"18";"90";"<5";"<5";"100";"22";"20";"90.9"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"39";"VMBO K - zorg en welzijn";"<5";"<5";"50";"10";"10";"100";"12";"11";"91.7";"8";"8";"100";"12";"12";"100";"20";"20";"100";"<5";"<5";"100";"11";"11";"100";"15";"15";"100";"10";"9";"90";"15";"15";"100";"25";"24";"96";"<5";"<5";"100";"11";"11";"100";"15";"15";"100"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"40";"VMBO K - economie";"10";"10";"100";"0";"0";"0";"10";"10";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"9";"9";"100";"6";"6";"100";"0";"0";"0";"6";"6";"100";"5";"<5";"80";"0";"0";"0";"5";"<5";"80"
"16XD";"16XD00";"College Den Hulster";"VENLO";"VMBO";"42";"VMBO G - techniek";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"12";"12";"100";"0";"0";"0";"12";"12";"100";"11";"11";"100";"<5";"<5";"100";"12";"12";"100";"16";"15";"93.8";"<5";"<5";"100";"18";"17";"94.4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
