"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM VESTIGING";"GEMEENTENAAM";"ONDERWIJSTYPE VO";"INSPECTIECODE";"OPLEIDINGSNAAM";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - MAN";"GESLAAGDEN SCHOOLJAAR 2019-2020 - MAN";"SLAAGPERC SCHOOLJAAR 2019-2020 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - VROUW";"GESLAAGDEN SCHOOLJAAR 2019-2020 - VROUW";"SLAAGPERC SCHOOLJAAR 2019-2020 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2019-2020 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2019-2020 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - MAN";"GESLAAGDEN SCHOOLJAAR 2020-2021 - MAN";"SLAAGPERC SCHOOLJAAR 2020-2021 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - VROUW";"GESLAAGDEN SCHOOLJAAR 2020-2021 - VROUW";"SLAAGPERC SCHOOLJAAR 2020-2021 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2020-2021 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2020-2021 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - MAN";"GESLAAGDEN SCHOOLJAAR 2021-2022 - MAN";"SLAAGPERC SCHOOLJAAR 2021-2022 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - VROUW";"GESLAAGDEN SCHOOLJAAR 2021-2022 - VROUW";"SLAAGPERC SCHOOLJAAR 2021-2022 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2021-2022 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2021-2022 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - MAN";"GESLAAGDEN SCHOOLJAAR 2022-2023 - MAN";"SLAAGPERC SCHOOLJAAR 2022-2023 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - VROUW";"GESLAAGDEN SCHOOLJAAR 2022-2023 - VROUW";"SLAAGPERC SCHOOLJAAR 2022-2023 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2022-2023 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2022-2023 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - MAN";"GESLAAGDEN SCHOOLJAAR 2023-2024 - MAN";"SLAAGPERC SCHOOLJAAR 2023-2024 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - VROUW";"GESLAAGDEN SCHOOLJAAR 2023-2024 - VROUW";"SLAAGPERC SCHOOLJAAR 2023-2024 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2023-2024 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2023-2024 - TOTAAL"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"VWO";"61";"VWO - N&G";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"<5";"<5";"66.7";"<5";"<5";"75";"7";"5";"71.4";"<5";"<5";"75";"<5";"<5";"25";"8";"<5";"50";"<5";"<5";"33.3";"<5";"<5";"100";"<5";"<5";"50";"<5";"<5";"100";"<5";"<5";"75";"6";"5";"83.3"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"VWO";"62";"VWO - E&M";"5";"5";"100";"5";"5";"100";"10";"10";"100";"<5";"<5";"50";"<5";"<5";"100";"5";"<5";"80";"6";"0";"0";"<5";"<5";"100";"8";"<5";"25";"13";"7";"53.8";"<5";"<5";"25";"17";"8";"47.1";"7";"5";"71.4";"<5";"0";"0";"10";"5";"50"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"VWO";"63";"VWO - C&M";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"0";"0";"<5";"<5";"50";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"VWO";"64";"VWO - N&T / N&G";"<5";"<5";"100";"12";"12";"100";"16";"16";"100";"8";"6";"75";"<5";"<5";"100";"12";"10";"83.3";"7";"5";"71.4";"8";"8";"100";"15";"13";"86.7";"5";"<5";"40";"7";"6";"85.7";"12";"8";"66.7";"5";"<5";"80";"<5";"<5";"75";"9";"7";"77.8"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"VWO";"69";"VWO - E&M / C&M";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"50";"<5";"<5";"50";"0";"0";"0";"<5";"<5";"75";"<5";"<5";"75";"0";"0";"0";"<5";"0";"0";"<5";"0";"0"
"00AH";"00AH08";"Het Stedelijk Zwering";"ENSCHEDE";"VMBO";"90";"VMBO T - techniek";"16";"16";"100";"<5";"<5";"100";"19";"19";"100";"14";"11";"78.6";"<5";"<5";"33.3";"17";"12";"70.6";"12";"11";"91.7";"<5";"<5";"100";"16";"15";"93.8";"5";"5";"100";"<5";"<5";"100";"7";"7";"100";"11";"11";"100";"0";"0";"0";"11";"11";"100"
"00AH";"00AH08";"Het Stedelijk Zwering";"ENSCHEDE";"VMBO";"91";"VMBO T - zorg en welzijn";"6";"6";"100";"30";"30";"100";"36";"36";"100";"<5";"<5";"100";"20";"20";"100";"21";"21";"100";"9";"9";"100";"13";"13";"100";"22";"22";"100";"<5";"<5";"100";"24";"20";"83.3";"28";"24";"85.7";"9";"9";"100";"23";"20";"87";"32";"29";"90.6"
"00AH";"00AH08";"Het Stedelijk Zwering";"ENSCHEDE";"VMBO";"92";"VMBO T - economie";"13";"13";"100";"21";"21";"100";"34";"34";"100";"25";"22";"88";"13";"13";"100";"38";"35";"92.1";"29";"29";"100";"13";"13";"100";"42";"42";"100";"23";"21";"91.3";"10";"10";"100";"33";"31";"93.9";"29";"21";"72.4";"17";"14";"82.4";"46";"35";"76.1"
"00AH";"00AH09";"Het Stedelijk Innova";"ENSCHEDE";"HAVO";"51";"HAVO - N&G";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100"
"00AH";"00AH09";"Het Stedelijk Innova";"ENSCHEDE";"HAVO";"52";"HAVO - E&M";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"6";"85.7";"<5";"<5";"50";"9";"7";"77.8"
