BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,pupils_total
00AP00,Wereldwijs,Zoetermeer,2716PH,Bo,30.53,279.95,0.1157,0.5797,83
00AR00,"BS ""De Maasparel",Maasgouw,6107AW,Bo,27.27,292.57,0.1047,0.5939,98
00AV00,De Morgenster,Nissewaard,3201CN,Bo,26.21,247.24,0.1011,0.5406,53
00AZ00,De Stapsteen,Molenlanden,2971AR,Bo,26.29,362.05,0.1014,0.6647,77
00BA00,OBS De Klimboom,Overbetuwe,6666EB,Bo,34.55,259.0,0.1289,0.5551,11
00BB00,Obs Letterwies,Oldambt,9944AR,Bo,17.21,230.22,0.0689,0.5188,50
00BS00,Geref Basisschool,Dalfsen,7711KP,Bo,24.66,355.48,0.0957,0.6585,97
00BW00,Jenaplanschool De Vlieger,Sittard-Geleen,6131KJ,Bo,22.1,224.43,0.0867,0.5111,82
00BZ00,Geref SBO Het Speelwerk,Zwolle,8031HL,Sbo,0.19,216.81,0.0008,0.5008,88
00CD00,Basisschool De Lockaert,Oss,5345JG,Bo,31.28,298.9,0.1182,0.6009,119
00CG00,De Harlekijn,Landgraaf,6372AC,Bo,31.23,215.57,0.118,0.4991,318
00CS00,De Leilinde,Oldambt,9671JA,Bo,26.09,206.48,0.1007,0.4864,60
00CU00,Basisschool Zilverlinde,Roosendaal,4707HS,Bo,30.67,245.95,0.1162,0.539,50
00CV00,School Matthijsje,Weststellingwerf,8388NA,Bo,28.26,344.62,0.1081,0.648,45
00DA00,Chr BS Betrouwen,Opsterland,9243SJ,Bo,21.33,350.0,0.084,0.6532,36
00DD00,Basissch Het Startnest,Uithoorn,1422LE,Bo,21.99,378.1,0.0863,0.6795,182
00DM00,De Bolderik,Bernheze,5473PG,Bo,33.08,400.24,0.1241,0.6992,99
00DN00,De Bundeling,Meerssen,6241BB,Bo,34.08,358.05,0.1273,0.6609,127
