BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,candidates_total
01OE18,Yuverta,UTRECHT,3555 SJ,VMBO,0.0,0.0,0.0,0.0,426
01OE21,Yuverta,AALSMEER,1431 KE,VMBO,0.0,0.0,0.0,0.0,623
01OE22,Yuverta,AMSTERDAM,1069 RS,VMBO,0.0,0.0,0.0,0.0,301
01OE23,Yuverta,AMSTERDAM,1098 JZ,VMBO,0.0,0.0,0.0,0.0,100
01OE25,Yuverta,GOOISE MEREN,1412 KA,VMBO,0.0,0.0,0.0,0.0,369
01OE26,Yuverta,AALSMEER,1431 RW,VMBO,0.0,10.13,0.0,0.0419,487
01OE27,Yuverta,ALPHEN AAN DEN RIJN,2771 EV,VMBO,0.0,0.0,0.0,0.0,527
01OE28,Yuverta,GOUDA,2803 ZK,VMBO,0.0,0.0,0.0,0.0,457
01OE30,Yuverta,ALPHEN AAN DEN RIJN,2401 LK,VMBO,0.0,0.0,0.0,0.0,539
01OE32,Yuverta,MOLENLANDEN,2975 BK,VMBO,0.0,0.0,0.0,0.0,582
01OE33,Yuverta,KATWIJK,2231 CE,VMBO,0.0,0.0,0.0,0.0,173
01OE37,Yuverta,HOUTEN,3992 XH,VMBO,0.0,0.0,0.0,0.0,537
01OE49,Yuverta,NEDER-BETUWE,4041 CR,VMBO,0.0,0.0,0.0,0.0,176
01OE50,Yuverta,NIJMEGEN,6532 SB,VMBO,0.0,0.0,0.0,0.0,332
01OE51,Yuverta,'S-HERTOGENBOSCH,5232 JL,VMBO,0.0,0.0,0.0,0.0,409
01OE54,Yuverta,EINDHOVEN,5654 JB,VMBO,0.0,0.0,0.0,0.0,413
01OE57,Yuverta,HORST AAN DE MAAS,5963 NJ,VMBO,0.0,0.0,0.0,0.0,308
01OE58,Yuverta,ROERMOND,6042 KA,VMBO,0.0,6.06,0.0,0.0256,382
01OE59,Yuverta,HEERLEN,6415 SB,VMBO,0.0,0.0,0.0,0.0,360
01OE60,Yuverta,NEDERWEERT,6031 EB,VMBO,0.0,21.32,0.0,0.0839,179
01RL00,Jacobus Fruijtier SGM,APELDOORN,7316 MB,HAVO/VWO,20.33,18.17,0.0804,0.0725,1822
01RL01,Jacobus Fruijtier SGM,RIJSSEN-HOLTEN,7463 CA,HAVO/VWO,0.0,15.97,0.0,0.0643,468
01RL02,Jacobus Fruijtier SGM,APELDOORN,3888 LA,VMBO,0.0,6.62,0.0,0.0278,247
01TC00,Hervormd Lyceum West,AMSTERDAM,1065 JX,HAVO/VWO,11.68,16.26,0.048,0.0654,949
01UH00,Maartenscollege,GRONINGEN,9751 NS,HAVO/VWO,23.55,28.81,0.0918,0.11,913
01VJ00,Etty Hillesum Lyceum,DEVENTER,7415 DM,VMBO,0.0,17.8,0.0,0.0711,956
01VJ03,Etty Hillesum Lyceum,DEVENTER,7418 GH,VMBO,0.0,0.0,0.0,0.0,288
01VJ04,Etty Hillesum Lyceum,DEVENTER,7414 AR,HAVO/VWO,35.78,48.97,0.1329,0.1731,2718
01VJ05,Etty Hillesum Lyceum,DEVENTER,7415 DV,VMBO,0.0,18.94,0.0,0.0753,895
01VN00,Canisius College,NIJMEGEN,6522 BK,HAVO/VWO,41.33,35.22,0.1502,0.131,1179
01VN04,Het Rijks VMBO Campus,NIJMEGEN,6532 AA,VMBO,0.0,12.85,0.0,0.0525,412
01VN09,Het Rijks VMBO Campus,NIJMEGEN,,VMBO,0.0,66.67,0.0,0.2218,57
01VN10,Het Rijks VMBO Campus,NIJMEGEN,,VMBO,0.0,100.0,0.0,0.301,34
01WM00,Burg Harmsma SGM,OPSTERLAND,8401 PV,VMBO,0.0,28.22,0.0,0.108,650
01XF00,Willem Blaeu,ALKMAAR,1816 MK,HAVO/VWO,23.1,30.33,0.0903,0.115,750
01XF01,Willem Blaeu - Van der Meij,ALKMAAR,1823 DS,VMBO,0.0,52.35,0.0,0.1828,488
01XL00,Strabrechtcollege,GELDROP-MIERLO,5666 AZ,HAVO/VWO,16.92,26.26,0.0679,0.1013,1036
01XN00,Almere College,KAMPEN,8264 PB,HAVO/VWO,13.57,23.44,0.0553,0.0915,474
01XN01,Almere College,DRONTEN,8251 GC,HAVO/VWO,21.25,25.88,0.0837,0.1,1033
01XN02,Almere College,KAMPEN,8265 PL,VMBO,0.0,34.46,0.0,0.1286,187
01XN09,Almere College,DRONTEN,8251 GR,VMBO,0.0,34.53,0.0,0.1288,369
02AN00,Fons Vitae Lyceum,AMSTERDAM,1071 SW,HAVO/VWO,49.3,42.76,0.1741,0.1546,853
02AP00,Het Amsterdams Lyceum,AMSTERDAM,1075 BJ,HAVO/VWO,92.86,48.18,0.2852,0.1708,807
02AR00,Het Hervormd Lyc Zuid,AMSTERDAM,1077 HE,HAVO/VWO,43.92,27.95,0.1581,0.107,695
02CI00,Insula College,DORDRECHT,3312 GH,HAVO/VWO,25.18,36.06,0.0975,0.1337,974
02CI01,Insula College,DORDRECHT,3312 KW,VMBO,0.0,34.96,0.0,0.1302,502
02CI02,Insula College,DORDRECHT,3319 PH,VMBO,0.0,13.59,0.0,0.0554,996
02CR00,Willem Lodewijkgymnasium,GRONINGEN,9727 CK,HAVO/VWO,94.46,54.94,0.2888,0.1902,519
02DC00,Corlaer College,NIJKERK,3863 CA,VMBO,0.0,25.89,0.0,0.1,1190
02DC03,Corlaer College,NIJKERK,3863 HV,HAVO/VWO,32.93,36.9,0.1236,0.1364,857
02DF00,Grotiuscollege,HEERLEN,6417 BM,HAVO/VWO,18.45,21.98,0.0735,0.0863,627
02DF01,Grotiuscollege,HEERLEN,6412 XX,VMBO,0.0,14.29,0.0,0.058,25
02DO00,PC SGM Het Noordik,ALMELO,7602 CG,HAVO/VWO,30.65,44.65,0.1161,0.1603,1269
02DO01,PC SGM Het Noordik,ALMELO,7604 KV,VMBO,0.0,22.3,0.0,0.0874,762
02DO02,PC SGM Het Noordik,TWENTERAND,7671 XW,VMBO,0.0,9.74,0.0,0.0404,767
02DO03,PC SGM Het Noordik,TWENTERAND,7681 ZM,VMBO,0.0,42.17,0.0,0.1528,596
02DQ00,Chr Gymnasium Sorghvliet,'S-GRAVENHAGE,2517 JR,HAVO/VWO,97.19,58.82,0.2949,0.2009,584
02DW00,Gymnasium Bernrode,BERNHEZE,5473 AG,HAVO/VWO,92.07,56.95,0.2834,0.1958,462
02DZ00,Stanislascollege Westplantsoen,DELFT,2613 GK,HAVO/VWO,60.75,54.04,0.2062,0.1876,1423
02DZ02,Stanislas vmbo/mavo Delft,DELFT,2613 NV,VMBO,0.0,32.07,0.0,0.1208,498
02DZ04,Stanislas Dalton Delft,DELFT,2625 DT,HAVO/VWO,0.0,8.34,0.0,0.0348,960
02EA00,Scholengroep Driestar-Wartburg,GOUDA,2803 ZV,HAVO/VWO,18.57,19.63,0.074,0.0778,2493
02EA02,Driestar-Wartburg Lekkerkerk,KRIMPENERWAARD,2941 GC,VMBO,0.0,21.88,0.0,0.0859,315
02EA03,Driestar-Wartburg Leiden,LEIDEN,2334 DE,HAVO/VWO,0.0,9.97,0.0,0.0413,301
02EA05,Driestar-Wartburg Gouda,GOUDA,2803 ZV,VMBO,0.0,40.24,0.0,0.1469,169
02EA06,Driestar Gouda Zèta,GOUDA,2803 HS,HAVO/VWO,41.11,31.36,0.1496,0.1185,287
02EA07,Driestar Gouda,GOUDA,2803 ZV,VMBO,0.0,25.74,0.0,0.0995,136
02EA08,Driestar Gouda Delta,GOUDA,2803 ZK,VMBO,0.0,36.36,0.0,0.1347,22
02EB00,Chr SGM Vincent van Gogh,ASSEN,9406 KB,HAVO/VWO,35.62,47.64,0.1323,0.1692,1072
02EB04,Chr SGM Vincent van Gogh,ASSEN,9405 GM,VMBO,0.0,9.07,0.0,0.0377,776
02EB07,Chr SGM Vincent van Gogh,MIDDEN-DRENTHE,9411 KA,VMBO,0.0,8.07,0.0,0.0337,332
02EK00,Pius X College,ALMELO,7604 JG,HAVO/VWO,26.15,42.38,0.1009,0.1535,585
02EK01,Pius X College,ALMELO,7604 KV,VMBO,0.0,56.32,0.0,0.194,498
02EK02,Pius X College,RIJSSEN-HOLTEN,7461 CW,VMBO,0.0,16.86,0.0,0.0677,322
02EV00,W De Zwijgercoll Chr SGM,GOOISE MEREN,,HAVO/VWO,50.68,34.65,0.178,0.1292,480
02EX00,"loc, Morgen College",HARDERWIJK,,VMBO,0.0,37.3,0.0,0.1377,562
02EX05,"loc, Morgen College",HARDERWIJK,,VMBO,0.0,17.58,0.0,0.0703,243
02FB00,CCNV,HARDERWIJK,3842 LA,HAVO/VWO,47.16,43.9,0.1678,0.1581,1061
02FC00,PC College Ulenhof,DOETINCHEM,,HAVO/VWO,27.38,30.36,0.1051,0.1151,336
02FC04,Kompaan College Het Hoge,BRONCKHORST,,VMBO,0.0,6.06,0.0,0.0256,33
02FC07,Kompaan College Nieuwstad,BRONCKHORST,,VMBO,0.0,18.64,0.0,0.0742,59
02FY00,OMO Scholengr. Bergen op Zoom,BERGEN OP ZOOM,4611 DX,HAVO/VWO,38.17,40.39,0.1404,0.1474,565
02FY01,OMO Scholengr. Bergen op Zoom,WOENSDRECHT,4641 RM,VMBO,0.0,34.01,0.0,0.1271,729
02FY02,OMO Scholengr. Bergen op Zoom,STEENBERGEN,4651 DT,VMBO,0.0,30.14,0.0,0.1144,701
02FY07,OMO Scholengr. Bergen op Zoom,BERGEN OP ZOOM,4613 AB,HAVO/VWO,92.5,62.22,0.2844,0.2101,94
02GF00,Mgr Frencken College,OOSTERHOUT,4902 AE,HAVO/VWO,24.85,34.93,0.0964,0.1301,1160
02GJ00,Chr College De Populier,'S-GRAVENHAGE,2565 MK,HAVO/VWO,30.46,45.83,0.1155,0.1639,875
02GJ01,Chr College De Populier,'S-GRAVENHAGE,2517 SW,VMBO,0.0,14.66,0.0,0.0594,454
